ADDRESS_TYPE,X_COORD,Y_COORD,LATITUDE,LONGITUDE,ADDRESS_NUMBER_PREFIX,ADDRESS_NUMBER,ADDRESS_NUMBER_SUFFIX,PREMODIFIER,PREDIRECTIONAL,STREET_NAME,POSTTYPE,POSTDIRECTIONAL,POSTMODIFIER,BUILDING_TYPE,BUILDING_IDENTIFIER,UNIT_TYPE,UNIT_IDENTIFIER,COMPOSITE_UNIT_TYPE,COMPOSIT_UNIT_IDENTIFIER,FULL_ADDRESS
S,3140400.0,1700323.0,39.75513153,-105.00064112,,1980.0,,,,18th,St,,,,,Unit,1019,Unit,1019,1980 18th St Unit 1019
S,3140355.0,1700361.0,39.75523706,-105.00079953,,1980.0,,,,18th,St,,,,,Unit,515,Unit,515,1980 18th St Unit 515
S,3140371.0,1700344.0,39.75519119,-105.00074451,,1980.0,,,,18th,St,,,,,Unit,1211,Unit,1211,1980 18th St Unit 1211
S,3140399.0,1700321.0,39.75512747,-105.00064219,,1980.0,,,,18th,St,,,,,Unit,419,Unit,419,1980 18th St Unit 419
S,3140324.0,1700375.0,39.75527649,-105.00090986,,1980.0,,,,18th,St,,,,,Unit,1306,Unit,1306,1980 18th St Unit 1306
S,3140339.0,1700362.0,39.75524028,-105.00085724,,1980.0,,,,18th,St,,,,,Unit,712,Unit,712,1980 18th St Unit 712
S,3140257.0,1700422.0,39.75540678,-105.00114828,,1980.0,,,,18th,St,,,,,Unit,606,Unit,606,1980 18th St Unit 606
S,3140379.0,1700321.0,39.75512828,-105.00071602,,1980.0,,,,18th,St,,,,,Unit,1118,Unit,1118,1980 18th St Unit 1118
S,3140391.0,1700307.0,39.75508937,-105.00067384,,1980.0,,,,18th,St,,,,,Unit,820,Unit,820,1980 18th St Unit 820
S,3140259.0,1700445.0,39.75546846,-105.00113982,,1980.0,,,,18th,St,,,,,Unit,502,Unit,502,1980 18th St Unit 502
S,3140393.0,1700305.0,39.75508468,-105.00066488,,1980.0,,,,18th,St,,,,,Unit,420,Unit,420,1980 18th St Unit 420
S,3140256.0,1700445.0,39.75547089,-105.00114968,,1980.0,,,,18th,St,,,,,Unit,1102,Unit,1102,1980 18th St Unit 1102
S,3140259.0,1700423.0,39.75540889,-105.00114009,,1980.0,,,,18th,St,,,,,Unit,1106,Unit,1106,1980 18th St Unit 1106
S,3140333.0,1700368.0,39.75525765,-105.00087796,,1980.0,,,,18th,St,,,,,Unit,710,Unit,710,1980 18th St Unit 710
S,3140330.0,1700382.0,39.75529581,-105.00088695,,1980.0,,,,18th,St,,,,,Unit,711,Unit,711,1980 18th St Unit 711
S,3140271.0,1700447.0,39.75547424,-105.0010964,,1980.0,,,,18th,St,,,,,Unit,801,Unit,801,1980 18th St Unit 801
S,3140037.0,1700669.0,39.75608714,-105.0019254,,1777.0,,,,Chestnut,Pl,,,,,Unit,1432,Unit,1432,1777 Chestnut Pl Unit 1432
S,3140100.0,1700606.0,39.75591366,-105.00170124,,1777.0,,,,Chestnut,Pl,,,,,Unit,1624,Unit,1624,1777 Chestnut Pl Unit 1624
S,3140088.0,1700604.0,39.75591004,-105.00174573,,1777.0,,,,Chestnut,Pl,,,,,Unit,1525,Unit,1525,1777 Chestnut Pl Unit 1525
S,3140054.0,1700652.0,39.75604209,-105.0018652,,1777.0,,,,Chestnut,Pl,,,,,Unit,1730,Unit,1730,1777 Chestnut Pl Unit 1730
S,3140092.0,1700486.0,39.75558406,-105.001734,,1777.0,,,,Chestnut,Pl,,,,,Unit,2105,Unit,2105,1777 Chestnut Pl Unit 2105
S,3140102.0,1700488.0,39.75559009,-105.00169629,,1777.0,,,,Chestnut,Pl,,,,,Unit,2206,Unit,2206,1777 Chestnut Pl Unit 2206
S,3140112.0,1700594.0,39.7558806,-105.00165887,,1777.0,,,,Chestnut,Pl,,,,,Unit,1422,Unit,1422,1777 Chestnut Pl Unit 1422
S,3140069.0,1700622.0,39.75595804,-105.001811,,1777.0,,,,Chestnut,Pl,,,,,Unit,2229,Unit,2229,1777 Chestnut Pl Unit 2229
S,3140153.0,1700538.0,39.755726010000004,-105.00151628,,1777.0,,,,Chestnut,Pl,,,,,Unit,2310,Unit,2310,1777 Chestnut Pl Unit 2310
S,3157292.0,1680294.0,39.69987933,-104.94099925,,917.0,,,S,Colorado,Blvd,,,,,,,,,917 S Colorado Blvd
S,3140025.0,1700672.0,39.75609596,-105.00196869,,1777.0,,,,Chestnut,Pl,,,,,Unit,2434,Unit,2434,1777 Chestnut Pl Unit 2434
S,3140114.0,1700515.0,39.75566522,-105.00165438,,1777.0,,,,Chestnut,Pl,,,,,Unit,2201,Unit,2201,1777 Chestnut Pl Unit 2201
