ADDRESS_TYPE,X_COORD,Y_COORD,LATITUDE,LONGITUDE,ADDRESS_NUMBER_PREFIX,ADDRESS_NUMBER,ADDRESS_NUMBER_SUFFIX,PREMODIFIER,PREDIRECTIONAL,STREET_NAME,POSTTYPE,POSTDIRECTIONAL,POSTMODIFIER,BUILDING_TYPE,BUILDING_IDENTIFIER,UNIT_TYPE,UNIT_IDENTIFIER,COMPOSITE_UNIT_TYPE,COMPOSIT_UNIT_IDENTIFIER,FULL_ADDRESS
S,3140169.0,1700343.0,39.75519177,-105.00146279,,1770.0,,,,Chestnut,Pl,,,,,Unit,405,Unit,405,1770 Chestnut Pl Unit 405
S,3135012.0,1699843.0,39.75389495,-105.01981406,,2625.0,,,W,25th,Ave,,,,,Unit,3,Unit,3,2625 W 25th Ave Unit 3
S,3206009.0,1715519.0,39.795627089999996,-104.76686153,,19000.0,,,E,55th,Ave,,,,,,,,,19000 E 55th Ave
S,3140169.0,1700344.0,39.75519307,-105.00146046,,1770.0,,,,Chestnut,Pl,,,,,Unit,1105,Unit,1105,1770 Chestnut Pl Unit 1105
S,3152226.0,1670276.0,39.67246227,-104.95921524,,2450.0,,,S,University,Blvd,,,,,Unit,358,Unit,358,2450 S University Blvd Unit 358
S,3152226.0,1670164.0,39.67215348,-104.95921663,,2450.0,,,S,University,Blvd,,,,,Unit,344,Unit,344,2450 S University Blvd Unit 344
S,3152319.0,1670036.0,39.67180084,-104.95889039,,2450.0,,,S,University,Blvd,,,,,Unit,409,Unit,409,2450 S University Blvd Unit 409
S,3152319.0,1670066.0,39.67188271,-104.95889026,,2450.0,,,S,University,Blvd,,,,,Unit,505,Unit,505,2450 S University Blvd Unit 505
S,3152226.0,1670335.0,39.6726227,-104.95921488,,2450.0,,,S,University,Blvd,,,,,Unit,462,Unit,462,2450 S University Blvd Unit 462
S,3152300.0,1670277.0,39.67246276,-104.95895462,,2450.0,,,S,University,Blvd,,,,,Unit,569,Unit,569,2450 S University Blvd Unit 569
S,3152256.0,1669869.0,39.67134336,-104.95911894,,2450.0,,,S,University,Blvd,,,,,Unit,326,Unit,326,2450 S University Blvd Unit 326
S,3152239.0,1670021.0,39.671761599999996,-104.95917576,,2450.0,,,S,University,Blvd,,,,,Unit,210,Unit,210,2450 S University Blvd Unit 210
S,3152227.0,1669972.0,39.67162767,-104.95921766,,2450.0,,,S,University,Blvd,,,,,Unit,314,Unit,314,2450 S University Blvd Unit 314
S,3152321.0,1669923.0,39.67149046,-104.95888723,,2450.0,,,S,University,Blvd,,,,,Unit,533,Unit,533,2450 S University Blvd Unit 533
S,3152302.0,1669989.0,39.67167285,-104.95895293,,2450.0,,,S,University,Blvd,,,,,Unit,315,Unit,315,2450 S University Blvd Unit 315
S,3152253.0,1670335.0,39.6726227,-104.95911875,,2450.0,,,S,University,Blvd,,,,,Unit,564,Unit,564,2450 S University Blvd Unit 564
S,3152282.0,1670244.0,39.67237255,-104.95901857,,2450.0,,,S,University,Blvd,,,,,Unit,453,Unit,453,2450 S University Blvd Unit 453
S,3152302.0,1669973.0,39.6716284,-104.95895277,,2450.0,,,S,University,Blvd,,,,,Unit,517,Unit,517,2450 S University Blvd Unit 517
S,3152319.0,1670020.0,39.67175678,-104.95889023,,2450.0,,,S,University,Blvd,,,,,Unit,311,Unit,311,2450 S University Blvd Unit 311
S,3152227.0,1669957.0,39.67158517,-104.95921799,,2450.0,,,S,University,Blvd,,,,,Unit,516,Unit,516,2450 S University Blvd Unit 516
S,3152270.0,1670335.0,39.67262331,-104.95905809,,2450.0,,,S,University,Blvd,,,,,Unit,266,Unit,266,2450 S University Blvd Unit 266
S,3152319.0,1670066.0,39.67188271,-104.95889026,,2450.0,,,S,University,Blvd,,,,,Unit,305,Unit,305,2450 S University Blvd Unit 305
S,3152302.0,1670116.0,39.67202238,-104.9589509,,2450.0,,,S,University,Blvd,,,,,Unit,237,Unit,237,2450 S University Blvd Unit 237
S,3152286.0,1669941.0,39.67154133,-104.95901146,,2450.0,,,S,University,Blvd,,,,,Unit,321,Unit,321,2450 S University Blvd Unit 321
S,3152226.0,1670195.0,39.67223987,-104.95921674,,2450.0,,,S,University,Blvd,,,,,Unit,348,Unit,348,2450 S University Blvd Unit 348
S,3152300.0,1669923.0,39.67149118,-104.95895938,,2450.0,,,S,University,Blvd,,,,,Unit,431,Unit,431,2450 S University Blvd Unit 431
S,3152303.0,1670336.0,39.67262454,-104.95894193,,2450.0,,,S,University,Blvd,,,,,Unit,370,Unit,370,2450 S University Blvd Unit 370
S,3152334.0,1670336.0,39.67262581,-104.95883263,,2450.0,,,S,University,Blvd,,,,,Unit,274,Unit,274,2450 S University Blvd Unit 274
S,3152282.0,1670244.0,39.67237255,-104.95901857,,2450.0,,,S,University,Blvd,,,,,Unit,253,Unit,253,2450 S University Blvd Unit 253
S,3176843.0,1663974.0,39.65472508,-104.87192037,,9825.0,,,E,Girard,Ave,,,,,Bldg,6 Unit 413,Bldg,6 Unit 413,9825 E Girard Ave Bldg 6 Unit 413
S,3176744.0,1663974.0,39.65472726,-104.87227446,,9825.0,,,E,Girard,Ave,,,,,Bldg,7 Unit 400,Bldg,7 Unit 400,9825 E Girard Ave Bldg 7 Unit 400
S,3176849.0,1664125.0,39.65514173,-104.87189725,,9825.0,,,E,Girard,Ave,,,,,Bldg,4 Unit 237,Bldg,4 Unit 237,9825 E Girard Ave Bldg 4 Unit 237
S,3133771.0,1699963.0,39.75424172,-105.02422346,,2525.0,,,N,Eliot,St,,,,,Unit,212,Unit,212,2525 N Eliot St Unit 212
S,3133851.0,1699952.0,39.7542096,-105.02394105,,2525.0,,,N,Eliot,St,,,,,Unit,405,Unit,405,2525 N Eliot St Unit 405
S,3176811.0,1664142.0,39.65518797,-104.87203146,,9825.0,,,E,Girard,Ave,,,,,Bldg,3 Unit 133,Bldg,3 Unit 133,9825 E Girard Ave Bldg 3 Unit 133
S,3133851.0,1699952.0,39.7542096,-105.02394105,,2525.0,,,N,Eliot,St,,,,,Unit,305,Unit,305,2525 N Eliot St Unit 305
S,3133771.0,1699963.0,39.75424172,-105.02422346,,2525.0,,,N,Eliot,St,,,,,Unit,512,Unit,512,2525 N Eliot St Unit 512
S,3176797.0,1663949.0,39.65465934,-104.87208346,,9825.0,,,E,Girard,Ave,,,,,Bldg,6 Unit 410,Bldg,6 Unit 410,9825 E Girard Ave Bldg 6 Unit 410
S,3133827.0,1699963.0,39.75424122,-105.02402558,,2525.0,,,N,Eliot,St,,,,,Unit,506,Unit,506,2525 N Eliot St Unit 506
S,3133749.0,1699963.0,39.75424276,-105.0243031,,2525.0,,,N,Eliot,St,,,,,Unit,514,Unit,514,2525 N Eliot St Unit 514
S,3176743.0,1664317.0,39.65566904,-104.87226711,,9825.0,,,E,Girard,Ave,,,,,Bldg,2 Unit 125,Bldg,2 Unit 125,9825 E Girard Ave Bldg 2 Unit 125
S,3133749.0,1699963.0,39.75424276,-105.0243031,,2525.0,,,N,Eliot,St,,,,,Unit,314,Unit,314,2525 N Eliot St Unit 314
S,3176797.0,1664226.0,39.65541779,-104.87207698,,9825.0,,,E,Girard,Ave,,,,,Bldg,2 Unit 129,Bldg,2 Unit 129,9825 E Girard Ave Bldg 2 Unit 129
